,sentence_text,e1,e2,relation_type,normalized_sentence
522,"Cohort 1 then received amprenavir plus rifabutin for 10 days, and cohort 2 received amprenavir plus rifampin for 4 days. ",rifabutin,rifampin,No interaction,"Cohort_bf 1_bf received_bf amprenavir_bf plus_bf DRUG 10_be days_be ,_be cohort_be 2_be received_be amprenavir_be plus_be OTHER_DRUG 4_af days_af ._af"
523,"Cohort 1 then received amprenavir plus rifabutin for 10 days, and cohort 2 received amprenavir plus rifampin for 4 days. ",amprenavir,rifampin,No interaction,"Cohort_bf 1_bf received_bf DRUG plus_be rifabutin_be 10_be days_be ,_be cohort_be 2_be received_be DRUG plus_af OTHER_DRUG 4_af days_af ._af"
524,"Serial plasma and urine samples for measurement of amprenavir, rifabutin, and rifampin and their 25-O-desacetyl metabolites, were measured by high-performance liquid chromatography. ",amprenavir,rifabutin,No interaction,"Serial_bf plasma_bf urine_bf samples_bf measurement_bf DRUG ,_be OTHER_DRUG ,_af rifampin_af 25-O-desacetyl_af metabolites_af ,_af measured_af high-performance_af liquid_af chromatography_af ._af"
525,"Serial plasma and urine samples for measurement of amprenavir, rifabutin, and rifampin and their 25-O-desacetyl metabolites, were measured by high-performance liquid chromatography. ",amprenavir,rifampin,No interaction,"Serial_bf plasma_bf urine_bf samples_bf measurement_bf DRUG ,_be rifabutin_be ,_be OTHER_DRUG 25-O-desacetyl_af metabolites_af ,_af measured_af high-performance_af liquid_af chromatography_af ._af"
526,"Serial plasma and urine samples for measurement of amprenavir, rifabutin, and rifampin and their 25-O-desacetyl metabolites, were measured by high-performance liquid chromatography. ",amprenavir,25-O-desacetyl metabolites,No interaction,"Serial_bf plasma_bf urine_bf samples_bf measurement_bf DRUG ,_be rifabutin_be ,_be rifampin_be 25-O-desacetyl_be metabolites_be ,_be measured_be high-performance_be liquid_be chromatography_be ._be"
527,"Serial plasma and urine samples for measurement of amprenavir, rifabutin, and rifampin and their 25-O-desacetyl metabolites, were measured by high-performance liquid chromatography. ",rifabutin,rifampin,No interaction,"Serial_bf plasma_bf urine_bf samples_bf measurement_bf amprenavir_bf ,_bf DRUG ,_be OTHER_DRUG 25-O-desacetyl_af metabolites_af ,_af measured_af high-performance_af liquid_af chromatography_af ._af"
528,"Serial plasma and urine samples for measurement of amprenavir, rifabutin, and rifampin and their 25-O-desacetyl metabolites, were measured by high-performance liquid chromatography. ",rifabutin,25-O-desacetyl metabolites,No interaction,"Serial_bf plasma_bf urine_bf samples_bf measurement_bf amprenavir_bf ,_bf DRUG ,_be rifampin_be 25-O-desacetyl_be metabolites_be ,_be measured_be high-performance_be liquid_be chromatography_be ._be"
529,"Serial plasma and urine samples for measurement of amprenavir, rifabutin, and rifampin and their 25-O-desacetyl metabolites, were measured by high-performance liquid chromatography. ",rifampin,25-O-desacetyl metabolites,No interaction,"Serial_bf plasma_bf urine_bf samples_bf measurement_bf amprenavir_bf ,_bf rifabutin_bf ,_bf DRUG 25-O-desacetyl_be metabolites_be ,_be measured_be high-performance_be liquid_be chromatography_be ._be"
530,Rifabutin did not significantly affect amprenavir's pharmacokinetics. ,Rifabutin,amprenavir,No interaction,DRUG significantly_be affect_be amprenavir's_be pharmacokinetics_be ._be
533,Amprenavir significantly increased the area under the curve at steady state (AUC(ss)) of rifabutin by 2.93-fold and the AUC(ss) of 25-O-desacetylrifabutin by 13.3-fold. ,rifabutin,25-O-desacetylrifabutin,No interaction,Amprenavir_bf significantly_bf increased_bf area_bf curve_bf steady_bf state_bf (AUC(ss))_bf DRUG 2_be ._be 93-fold_be AUC(ss)_be OTHER_DRUG 13_af ._af 3-fold_af ._af
535,"Rifampin significantly decreased the AUC(ss) of amprenavir by 82%, but amprenavir had no effect on rifampin pharmacokinetics. ",Rifampin,amprenavir,No interaction,"DRUG significantly_be decreased_be AUC(ss)_be OTHER_DRUG 82%_af ,_af OTHER_DRUG effect_af DRUG pharmacokinetics_af ._af"
536,"Rifampin significantly decreased the AUC(ss) of amprenavir by 82%, but amprenavir had no effect on rifampin pharmacokinetics. ",Rifampin,rifampin,No interaction,"DRUG significantly_be decreased_be AUC(ss)_be amprenavir_be 82%_be ,_be amprenavir_be effect_be DRUG pharmacokinetics_af ._af"
537,"Rifampin significantly decreased the AUC(ss) of amprenavir by 82%, but amprenavir had no effect on rifampin pharmacokinetics. ",amprenavir,amprenavir,No interaction,"Rifampin_bf significantly_bf decreased_bf AUC(ss)_bf DRUG 82%_be ,_be DRUG effect_af rifampin_af pharmacokinetics_af ._af"
538,"Rifampin significantly decreased the AUC(ss) of amprenavir by 82%, but amprenavir had no effect on rifampin pharmacokinetics. ",amprenavir,rifampin,No interaction,"OTHER_DRUG significantly_be decreased_be AUC(ss)_be DRUG 82%_af ,_af DRUG effect_af OTHER_DRUG pharmacokinetics_af ._af"
539,"Rifampin significantly decreased the AUC(ss) of amprenavir by 82%, but amprenavir had no effect on rifampin pharmacokinetics. ",amprenavir,rifampin,No interaction,"OTHER_DRUG significantly_be decreased_be AUC(ss)_be DRUG 82%_af ,_af DRUG effect_af OTHER_DRUG pharmacokinetics_af ._af"
540,"The results of the ERMBT after 2 weeks of rifabutin and rifampin therapy were increased 187 and 156%, respectively. ",rifabutin,rifampin,No interaction,"The_bf results_bf ERMBT_bf 2_bf weeks_bf DRUG OTHER_DRUG therapy_af increased_af 187_af 156%_af ,_af respectively_af ._af"
541,Amprenavir plus rifampin was well tolerated. ,Amprenavir,rifampin,No interaction,DRUG plus_be OTHER_DRUG well_af tolerated_af ._af
546,"Amprenavir significantly decreases clearance of rifabutin and 25-O-desacetylrifabutin, and the combination is poorly tolerated. ",rifabutin,25-O-desacetylrifabutin,No interaction,"Amprenavir_bf significantly_bf decreases_bf clearance_bf DRUG OTHER_DRUG ,_af combination_af poorly_af tolerated_af ._af"
547,"Amprenavir inhibits the ERMBT, and rifampin and rifabutin are equipotent inducers of the ERMBT.",Amprenavir,rifampin,No interaction,"DRUG inhibits_be ERMBT_be ,_be OTHER_DRUG rifabutin_af equipotent_af inducers_af ERMBT_af ._af"
548,"Amprenavir inhibits the ERMBT, and rifampin and rifabutin are equipotent inducers of the ERMBT.",Amprenavir,rifabutin,No interaction,"DRUG inhibits_be ERMBT_be ,_be rifampin_be OTHER_DRUG equipotent_af inducers_af ERMBT_af ._af"
549,"Amprenavir inhibits the ERMBT, and rifampin and rifabutin are equipotent inducers of the ERMBT.",rifampin,rifabutin,No interaction,"Amprenavir_bf inhibits_bf ERMBT_bf ,_bf DRUG OTHER_DRUG equipotent_af inducers_af ERMBT_af ._af"
550,"The thiazolidinediones (rosiglitazone and pioglitazone), a new class of oral antidiabetic agents, are ""insulin sensitizers"" ",thiazolidinediones,rosiglitazone,No interaction,"The_bf DRUG (rosiglitazone_be pioglitazone)_be ,_be new_be class_be oral_be antidiabetic_be agents_be ,_be ""insulin_be sensitizers""_be"
551,"The thiazolidinediones (rosiglitazone and pioglitazone), a new class of oral antidiabetic agents, are ""insulin sensitizers"" ",thiazolidinediones,pioglitazone,No interaction,"The_bf DRUG (rosiglitazone_be pioglitazone)_be ,_be new_be class_be oral_be antidiabetic_be agents_be ,_be ""insulin_be sensitizers""_be"
552,"The thiazolidinediones (rosiglitazone and pioglitazone), a new class of oral antidiabetic agents, are ""insulin sensitizers"" ",thiazolidinediones,antidiabetic agents,No interaction,"The_bf DRUG (rosiglitazone_be pioglitazone)_be ,_be new_be class_be oral_be antidiabetic_be agents_be ,_be ""insulin_be sensitizers""_be"
553,"The thiazolidinediones (rosiglitazone and pioglitazone), a new class of oral antidiabetic agents, are ""insulin sensitizers"" ",rosiglitazone,pioglitazone,No interaction,"The_bf thiazolidinediones_bf (rosiglitazone_bf pioglitazone)_bf ,_bf new_bf class_bf oral_bf antidiabetic_bf agents_bf ,_bf ""insulin_bf sensitizers""_bf"
554,"The thiazolidinediones (rosiglitazone and pioglitazone), a new class of oral antidiabetic agents, are ""insulin sensitizers"" ",rosiglitazone,antidiabetic agents,No interaction,"The_bf thiazolidinediones_bf (rosiglitazone_bf pioglitazone)_bf ,_bf new_bf class_bf oral_bf antidiabetic_bf agents_bf ,_bf ""insulin_bf sensitizers""_bf"
555,"The thiazolidinediones (rosiglitazone and pioglitazone), a new class of oral antidiabetic agents, are ""insulin sensitizers"" ",pioglitazone,antidiabetic agents,No interaction,"The_bf thiazolidinediones_bf (rosiglitazone_bf pioglitazone)_bf ,_bf new_bf class_bf oral_bf antidiabetic_bf agents_bf ,_bf ""insulin_bf sensitizers""_bf"
556,"To study the pancreatic effects of other agents, dynamic insulin and glucagon release was measured from the in vitro perfused pancreases of normal and diabetic Chinese hamsters in response to various combinations of arginine (20mM), glucose (100 or 150 mg. per 100 ml.), and theophylline (10 mM). ",arginine,glucose,No interaction,"To_bf study_bf pancreatic_bf effects_bf agents_bf ,_bf dynamic_bf insulin_bf glucagon_bf release_bf measured_bf vitro_bf perfused_bf pancreases_bf normal_bf diabetic_bf Chinese_bf hamsters_bf response_bf various_bf combinations_bf DRUG (20mM)_be ,_be OTHER_DRUG (100_af 150_af mg_af ._af per_af 100_af ml_af ._af )_af ,_af theophylline_af (10_af mM)_af ._af"
557,"To study the pancreatic effects of other agents, dynamic insulin and glucagon release was measured from the in vitro perfused pancreases of normal and diabetic Chinese hamsters in response to various combinations of arginine (20mM), glucose (100 or 150 mg. per 100 ml.), and theophylline (10 mM). ",arginine,theophylline,No interaction,"To_bf study_bf pancreatic_bf effects_bf agents_bf ,_bf dynamic_bf insulin_bf glucagon_bf release_bf measured_bf vitro_bf perfused_bf pancreases_bf normal_bf diabetic_bf Chinese_bf hamsters_bf response_bf various_bf combinations_bf DRUG (20mM)_be ,_be glucose_be (100_be 150_be mg_be ._be per_be 100_be ml_be ._be )_be ,_be OTHER_DRUG (10_af mM)_af ._af"
558,"To study the pancreatic effects of other agents, dynamic insulin and glucagon release was measured from the in vitro perfused pancreases of normal and diabetic Chinese hamsters in response to various combinations of arginine (20mM), glucose (100 or 150 mg. per 100 ml.), and theophylline (10 mM). ",glucose,theophylline,No interaction,"To_bf study_bf pancreatic_bf effects_bf agents_bf ,_bf dynamic_bf insulin_bf glucagon_bf release_bf measured_bf vitro_bf perfused_bf pancreases_bf normal_bf diabetic_bf Chinese_bf hamsters_bf response_bf various_bf combinations_bf arginine_bf (20mM)_bf ,_bf DRUG (100_be 150_be mg_be ._be per_be 100_be ml_be ._be )_be ,_be OTHER_DRUG (10_af mM)_af ._af"
559,"Glucose, alone and in the presence of theophylline, caused subnormal insulin release and less suppression of glucagon release in the diabectics than in the normals. ",Glucose,theophylline,No interaction,"DRUG ,_be alone_be presence_be OTHER_DRUG ,_af caused_af subnormal_af insulin_af release_af less_af suppression_af glucagon_af release_af diabectics_af normals_af ._af"
560,"Arginine, in the presence of glucose and theophylline, caused excessive glucagon release but nearly normal insulin release in the diabetics. ",Arginine,glucose,No interaction,"DRUG ,_be presence_be OTHER_DRUG theophylline_af ,_af caused_af excessive_af glucagon_af release_af nearly_af normal_af insulin_af release_af diabetics_af ._af"
561,"Arginine, in the presence of glucose and theophylline, caused excessive glucagon release but nearly normal insulin release in the diabetics. ",Arginine,theophylline,No interaction,"DRUG ,_be presence_be glucose_be OTHER_DRUG ,_af caused_af excessive_af glucagon_af release_af nearly_af normal_af insulin_af release_af diabetics_af ._af"
562,"Arginine, in the presence of glucose and theophylline, caused excessive glucagon release but nearly normal insulin release in the diabetics. ",glucose,theophylline,No interaction,"Arginine_bf ,_bf presence_bf DRUG OTHER_DRUG ,_af caused_af excessive_af glucagon_af release_af nearly_af normal_af insulin_af release_af diabetics_af ._af"
563,"Arginine, in the absence of glucose or theophylline, caused excessive glucagon release in the diabetics and undetectable insulin release in either diabetics or normals. ",Arginine,glucose,No interaction,"DRUG ,_be absence_be OTHER_DRUG theophylline_af ,_af caused_af excessive_af glucagon_af release_af diabetics_af undetectable_af insulin_af release_af either_af diabetics_af normals_af ._af"
564,"Arginine, in the absence of glucose or theophylline, caused excessive glucagon release in the diabetics and undetectable insulin release in either diabetics or normals. ",Arginine,theophylline,No interaction,"DRUG ,_be absence_be glucose_be OTHER_DRUG ,_af caused_af excessive_af glucagon_af release_af diabetics_af undetectable_af insulin_af release_af either_af diabetics_af normals_af ._af"
565,"Arginine, in the absence of glucose or theophylline, caused excessive glucagon release in the diabetics and undetectable insulin release in either diabetics or normals. ",glucose,theophylline,No interaction,"Arginine_bf ,_bf absence_bf DRUG OTHER_DRUG ,_af caused_af excessive_af glucagon_af release_af diabetics_af undetectable_af insulin_af release_af either_af diabetics_af normals_af ._af"
566,"Further, these results confirm that the diabetic Chinese hamster's alpha and beta cells respond normally to theophylline, but are relatively insensitive to glucose.",theophylline,glucose,No interaction,"Further_bf ,_bf results_bf confirm_bf diabetic_bf Chinese_bf hamster's_bf alpha_bf beta_bf cells_bf respond_bf normally_bf DRUG ,_be relatively_be insensitive_be OTHER_DRUG ._af"
567,"In this study, the effects of etofibrate upon chylomicron metabolism was tested by determination of the plasma kinetics of a chylomicron-like emulsion model in 12 patients with coronary artery disease, aged 59+/-11 years, (total cholesterol: 240+/-41 mg/dl; triglycerides: 188+/-42 mg/dl) submitted to a randomized, crossover, double-blind, placebo-controlled study with administration of 1 g per day etofibrate or placebo for 1-month. ",etofibrate,etofibrate,No interaction,"In_bf study_bf ,_bf effects_bf DRUG upon_be chylomicron_be metabolism_be tested_be determination_be plasma_be kinetics_be chylomicron-like_be emulsion_be model_be 12_be patients_be coronary_be artery_be disease_be ,_be aged_be 59+/-11_be years_be ,_be (total_be cholesterol:_be 240+/-41_be mg/dl;_be triglycerides:_be 188+/-42_be mg/dl)_be submitted_be randomized_be ,_be crossover_be ,_be double-blind_be ,_be placebo-controlled_be study_be administration_be 1_be g_be per_be day_be DRUG placebo_af 1-month_af ._af"
569,"Green tea polyphenols as potent enhancers of glucocorticoid-induced mouse mammary tumor virus gene expression.
",Green tea polyphenols,enhancers,No interaction,Green_bf tea_bf polyphenols_bf potent_bf OTHER_DRUG glucocorticoid-induced_be mouse_be mammary_be tumor_be virus_be gene_be expression_be ._be
570,"n-dodecyl gallate showed the most potent inhibition (66% inhibition at 10 microM), which was far more potent than that of crude tannic acid. ",n-dodecyl gallate,tannic acid,No interaction,"n-dodecyl_bf gallate_bf showed_bf potent_bf inhibition_bf (66%_bf inhibition_bf 10_bf microM)_bf ,_bf far_bf potent_bf crude_bf tannic_bf acid_bf ._bf"
572,"AIM AND BACKGROUND: The pharmacokinetic interaction between sirolimus, a macrolide immunosuppressant metabolized by CYP3A4, and the calcium channel blocker diltiazem was studied in 18 healthy subjects. ",sirolimus,macrolide immunosuppressant,No interaction,"AIM_bf AND_bf BACKGROUND:_bf The_bf pharmacokinetic_bf interaction_bf DRUG ,_be macrolide_be immunosuppressant_be metabolized_be CYP3A4_be ,_be calcium_be channel_be blocker_be diltiazem_be studied_be 18_be healthy_be subjects_be ._be"
573,"AIM AND BACKGROUND: The pharmacokinetic interaction between sirolimus, a macrolide immunosuppressant metabolized by CYP3A4, and the calcium channel blocker diltiazem was studied in 18 healthy subjects. ",sirolimus,calcium channel blocker,No interaction,"AIM_bf AND_bf BACKGROUND:_bf The_bf pharmacokinetic_bf interaction_bf DRUG ,_be macrolide_be immunosuppressant_be metabolized_be CYP3A4_be ,_be calcium_be channel_be blocker_be diltiazem_be studied_be 18_be healthy_be subjects_be ._be"
